commandline arguments: Namespace(input='.\\maps\\BASIC_OFFICE_LAYOUT', numpeople=200, random_state=8675309, max_time=None, no_spread_fire=False, no_graphical_output=False, output=False, fire_rate=2, bottleneck_delay=0.2, animation_delay=1, scale=8, speed=3.0, sample_k=8, sample_seed=123, seconds_per_unit=1.0, start_delay_dist='none', start_delay=0.0, start_delay_std=0.0) 

===============================================================================
initialized a 64x50 floor with 200 people in 2400 locations
initialized 12 bottleneck(s)
detected 0 fire zone(s)

good luck escaping!
===============================================================================
LOGS
INFO	 fire disabled (treated as walls)
ROOM-EXIT	 t=   5.119 s	 person  138 left room 1 (OFFICE_LEFT1) occ=22 area=100.00 m^2
ROOM-EXIT	 t=   5.123 s	 person    2 left room 5 (OFFICE_RIGHT2) occ=15 area=100.00 m^2
ROOM-EXIT	 t=   5.152 s	 person  131 left room 5 (OFFICE_RIGHT2) occ=14 area=100.00 m^2
ROOM-EXIT	 t=   5.169 s	 person   38 left room 6 (OFFICE_RIGHT3) occ=22 area=100.00 m^2
ROOM-EXIT	 t=   5.171 s	 person   69 left room 2 (OFFICE_LEFT2) occ=13 area=100.00 m^2
ROOM-EXIT	 t=   5.245 s	 person   42 left room 6 (OFFICE_RIGHT3) occ=21 area=100.00 m^2
ROOM-EXIT	 t=   5.326 s	 person  146 left room 1 (OFFICE_LEFT1) occ=21 area=100.00 m^2
ROOM-EXIT	 t=   5.330 s	 person  140 left room 6 (OFFICE_RIGHT3) occ=20 area=100.00 m^2
ROOM-EXIT	 t=   5.366 s	 person  182 left room 5 (OFFICE_RIGHT2) occ=13 area=100.00 m^2
ROOM-EXIT	 t=   5.382 s	 person  188 left room 6 (OFFICE_RIGHT3) occ=19 area=100.00 m^2
ROOM-EXIT	 t=   5.395 s	 person   40 left room 6 (OFFICE_RIGHT3) occ=18 area=100.00 m^2
ROOM-EXIT	 t=   5.402 s	 person  195 left room 4 (OFFICE_RIGHT1) occ=15 area=100.00 m^2
ROOM-EXIT	 t=   5.408 s	 person  111 left room 6 (OFFICE_RIGHT3) occ=17 area=100.00 m^2
ROOM-EXIT	 t=   5.438 s	 person  158 left room 4 (OFFICE_RIGHT1) occ=14 area=100.00 m^2
ROOM-EXIT	 t=   5.443 s	 person   53 left room 6 (OFFICE_RIGHT3) occ=16 area=100.00 m^2
ROOM-EXIT	 t=   5.524 s	 person  125 left room 3 (OFFICE_LEFT3) occ=12 area=100.00 m^2
ROOM-EXIT	 t=   5.576 s	 person   47 left room 1 (OFFICE_LEFT1) occ=20 area=100.00 m^2
ROOM-EXIT	 t=   5.618 s	 person    4 left room 4 (OFFICE_RIGHT1) occ=13 area=100.00 m^2
ROOM-EXIT	 t=   5.670 s	 person   87 left room 6 (OFFICE_RIGHT3) occ=15 area=100.00 m^2
ROOM-EXIT	 t=   5.697 s	 person   62 left room 1 (OFFICE_LEFT1) occ=19 area=100.00 m^2
ROOM-EXIT	 t=   5.708 s	 person  128 left room 4 (OFFICE_RIGHT1) occ=12 area=100.00 m^2
ROOM-EXIT	 t=   5.896 s	 person   13 left room 4 (OFFICE_RIGHT1) occ=11 area=100.00 m^2
ROOM-EXIT	 t=   5.926 s	 person  190 left room 2 (OFFICE_LEFT2) occ=12 area=100.00 m^2
ROOM-EXIT	 t=   5.936 s	 person   36 left room 2 (OFFICE_LEFT2) occ=11 area=100.00 m^2
ROOM-EXIT	 t=   5.998 s	 person   28 left room 3 (OFFICE_LEFT3) occ=11 area=100.00 m^2
ROOM-EXIT	 t=   6.044 s	 person   99 left room 1 (OFFICE_LEFT1) occ=18 area=100.00 m^2
ROOM-EXIT	 t=   6.097 s	 person   24 left room 4 (OFFICE_RIGHT1) occ=10 area=100.00 m^2
ROOM-EXIT	 t=   6.110 s	 person   11 left room 2 (OFFICE_LEFT2) occ=10 area=100.00 m^2
ROOM-EXIT	 t=   6.150 s	 person  192 left room 2 (OFFICE_LEFT2) occ=9 area=100.00 m^2
ROOM-EXIT	 t=   6.216 s	 person    3 left room 4 (OFFICE_RIGHT1) occ=9 area=100.00 m^2
ROOM-EXIT	 t=   6.281 s	 person  122 left room 6 (OFFICE_RIGHT3) occ=14 area=100.00 m^2
ROOM-EXIT	 t=   6.291 s	 person   75 left room 6 (OFFICE_RIGHT3) occ=13 area=100.00 m^2
ROOM-EXIT	 t=   6.320 s	 person  139 left room 3 (OFFICE_LEFT3) occ=10 area=100.00 m^2
ROOM-EXIT	 t=   6.349 s	 person   68 left room 2 (OFFICE_LEFT2) occ=8 area=100.00 m^2
ROOM-EXIT	 t=   6.370 s	 person   57 left room 5 (OFFICE_RIGHT2) occ=12 area=100.00 m^2
ROOM-EXIT	 t=   6.374 s	 person  123 left room 3 (OFFICE_LEFT3) occ=9 area=100.00 m^2
ROOM-EXIT	 t=   6.381 s	 person  132 left room 2 (OFFICE_LEFT2) occ=7 area=100.00 m^2
ROOM-EXIT	 t=   6.385 s	 person   30 left room 1 (OFFICE_LEFT1) occ=17 area=100.00 m^2
ROOM-EXIT	 t=   6.388 s	 person  171 left room 4 (OFFICE_RIGHT1) occ=8 area=100.00 m^2
ROOM-EXIT	 t=   6.399 s	 person    7 left room 1 (OFFICE_LEFT1) occ=16 area=100.00 m^2
ROOM-EXIT	 t=   6.504 s	 person  160 left room 7 (HALLWAY) occ=123 area=93.00 m^2
ROOM-EXIT	 t=   6.504 s	 person  193 left room 2 (OFFICE_LEFT2) occ=6 area=100.00 m^2
ROOM-EXIT	 t=   6.533 s	 person   92 left room 3 (OFFICE_LEFT3) occ=8 area=100.00 m^2
ROOM-EXIT	 t=   6.563 s	 person   26 left room 5 (OFFICE_RIGHT2) occ=11 area=100.00 m^2
ROOM-EXIT	 t=   6.571 s	 person   31 left room 6 (OFFICE_RIGHT3) occ=12 area=100.00 m^2
