id,start_i,start_j,exit_time_s
516,10,40,105.97729037902364
517,4,65,196.74993909575394
518,4,44,102.78301791469137
519,32,21,277.8140617748893
520,10,47,71.03017208788393
521,30,19,193.04779819800893
522,19,67,135.52773623106367
523,20,12,184.58208691757656
524,17,3,151.6605748367902
525,9,32,157.87662474570536
526,16,20,129.7778710743614
527,9,7,273.1967609263635
528,7,11,44.06095839681282
529,19,11,168.458869707876
530,40,20,146.14912066480153
531,11,56,152.43982001349906
532,20,5,197.09788540536917
533,31,15,251.4621093602727
534,41,6,94.90812180513788
535,47,67,87.66883476274036
536,7,42,76.70026121285825
537,45,41,169.04093046897972
538,3,37,125.2085009616306
539,5,9,34.02837566371643
540,33,20,169.83413670950787
541,33,6,108.3551418658236
542,42,58,182.88909441240955
543,15,9,88.94272273205307
544,44,39,175.67414368282033
545,9,3,146.44448591981336
546,23,7,220.89851293835466
547,38,22,108.74925685455904
548,43,13,65.46641531306223
549,33,19,121.39197673166882
550,10,5,101.54789653927122
551,34,11,91.58668075627398
552,9,50,80.88840651849097
553,47,49,66.62454402674288
554,47,16,64.16678784333288
555,39,11,131.82731744464354
556,45,43,99.52303884340131
557,9,60,107.32779989913864
558,21,11,249.3642341767591
559,15,11,167.99846237330584
560,45,47,60.462414414001664
561,47,20,172.37591523558905
562,45,65,236.89361081572108
563,45,12,80.1306995368632
564,20,7,266.5435863941472
565,46,3,71.4744925330728
566,39,26,114.94374038338518
567,6,4,94.3152810850498
568,29,10,157.08907680224
569,36,8,213.4363807666418
570,11,62,91.00142310734032
571,11,41,127.46854327891188
572,44,49,67.17244144050828
573,42,57,140.21557056167916
574,32,13,160.2861153046693
575,19,21,180.79021204581812
576,39,59,249.7864162636019
577,15,21,154.84542553945897
578,23,21,246.89395247324063
579,2,63,88.62380185499644
580,5,23,80.38903970580333
581,13,6,145.7639409249652
582,39,16,116.99135935930751
583,42,53,118.46246310032843
584,4,5,54.64000031990889
585,26,13,222.30856371814656
586,38,36,96.85731390573267
587,12,17,108.00917923674642
588,27,15,201.1656174293268
